"CAM","ID","MIN","MAX","COORD"
-2036,1,339,339,614440960
-2036,2,287,287,614440960
-2036,3,267,267,614440960
-2036,4,183,183,614440960
-2036,5,375,375,614440960
-2036,6,379,379,614440960
-2036,7,417,417,614440960
-2036,8,537,537,614440960
-2036,9,241,241,614440960
-2036,10,303,303,614440960
-2036,11,327,327,614440960
-2036,12,355,355,614440960
-2036,13,409,409,614440960
-2036,14,447,447,614440960
-2036,15,455,455,614440960
-2036,16,515,515,614440960
-2036,17,155,155,614440960
-2036,18,185,185,614440960
-2036,19,213,213,614440960
-2036,20,467,467,614440960
-2036,21,215,215,614440960
-2036,22,1000,1001,614440960
-2036,23,355,355,614440960
-2036,24,155,155,614440960
-2036,25,273,273,614440960
-2020,1,339,339,615140202
-2020,2,297,297,615140202
-2020,3,267,267,615140202
-2020,4,183,183,615140202
-2020,5,383,383,615140202
-2020,6,383,383,615140202
-2020,7,411,411,615140202
-2020,8,535,535,615140202
-2020,9,241,241,615140202
-2020,10,305,305,615140202
-2020,11,329,329,615140202
-2020,12,355,355,615140202
-2020,13,409,409,615140202
-2020,14,445,445,615140202
-2020,15,457,457,615140202
-2020,16,515,515,615140202
-2020,17,155,155,615140202
-2020,18,185,185,615140202
-2020,19,213,213,615140202
-2020,20,467,467,615140202
-2020,21,215,215,615140202
-2020,22,339,339,615140202
-2020,23,355,355,615140202
-2020,24,157,157,615140202
-2020,25,275,275,615140202
-2004,1,335,335,618139452
-2004,2,297,297,618139452
-2004,3,267,267,618139452
-2004,4,183,183,618139452
-2004,5,375,375,618139452
-2004,6,379,379,618139452
-2004,7,411,411,618139452
-2004,8,541,541,618139452
-2004,9,241,241,618139452
-2004,10,307,307,618139452
-2004,11,331,331,618139452
-2004,12,359,359,618139452
-2004,13,411,411,618139452
-2004,14,449,449,618139452
-2004,15,457,457,618139452
-2004,16,519,519,618139452
-2004,17,157,157,618139452
-2004,18,187,187,618139452
-2004,19,215,215,618139452
-2004,20,471,471,618139452
-2004,21,215,215,618139452
-2004,22,1000,1001,618139452
-2004,23,357,357,618139452
-2004,24,159,159,618139452
-2004,25,277,277,618139452
-1988,1,337,337,622638702
-1988,2,297,297,622638702
-1988,3,271,271,622638702
-1988,4,187,187,622638702
-1988,5,377,377,622638702
-1988,6,387,387,622638702
-1988,7,417,417,622638702
-1988,8,539,539,622638702
-1988,9,243,243,622638702
-1988,10,309,309,622638702
-1988,11,333,333,622638702
-1988,12,361,361,622638702
-1988,13,411,411,622638702
-1988,14,451,451,622638702
-1988,15,459,459,622638702
-1988,16,521,521,622638702
-1988,17,157,157,622638702
-1988,18,189,189,622638702
-1988,19,217,217,622638702
-1988,20,471,471,622638702
-1988,21,217,217,622638702
-1988,22,339,339,622638702
-1988,23,359,359,622638702
-1988,24,161,161,622638702
-1988,25,279,279,622638702
-1971,1,341,341,629437952
-1971,2,301,301,629437952
-1971,3,271,271,629437952
-1971,4,187,187,629437952
-1971,5,379,379,629437952
-1971,6,387,387,629437952
-1971,7,415,415,629437952
-1971,8,539,539,629437952
-1971,9,245,245,629437952
-1971,10,311,311,629437952
-1971,11,335,335,629437952
-1971,12,361,361,629437952
-1971,13,413,413,629437952
-1971,14,451,451,629437952
-1971,15,461,461,629437952
-1971,16,521,521,629437952
-1971,17,157,157,629437952
-1971,18,189,189,629437952
-1971,19,219,219,629437952
-1971,20,475,475,629437952
-1971,21,459,459,629437952
-1971,22,341,341,629437952
-1971,23,361,361,629437952
-1971,24,161,161,629437952
-1971,25,281,281,629437952
-1956,1,341,341,637637202
-1956,2,295,295,637637202
-1956,3,267,267,637637202
-1956,4,187,187,637637202
-1956,5,375,375,637637202
-1956,6,385,385,637637202
-1956,7,419,419,637637202
-1956,8,541,541,637637202
-1956,9,247,247,637637202
-1956,10,313,313,637637202
-1956,11,335,335,637637202
-1956,12,361,361,637637202
-1956,13,415,415,637637202
-1956,14,453,453,637637202
-1956,15,461,461,637637202
-1956,16,523,523,637637202
-1956,17,161,161,637637202
-1956,18,191,191,637637202
-1956,19,219,219,637637202
-1956,20,477,477,637637202
-1956,21,217,217,637637202
-1956,22,339,339,637637202
-1956,23,363,363,637637202
-1956,24,165,165,637637202
-1956,25,283,283,637637202
-1941,1,343,343,647436452
-1941,2,303,303,647436452
-1941,3,273,273,647436452
-1941,4,189,189,647436452
-1941,5,381,381,647436452
-1941,6,387,387,647436452
-1941,7,419,419,647436452
-1941,8,549,549,647436452
-1941,9,249,249,647436452
-1941,10,315,315,647436452
-1941,11,339,339,647436452
-1941,12,365,365,647436452
-1941,13,417,417,647436452
-1941,14,455,455,647436452
-1941,15,463,463,647436452
-1941,16,525,525,647436452
-1941,17,163,163,647436452
-1941,18,193,193,647436452
-1941,19,223,223,647436452
-1941,20,477,477,647436452
-1941,21,467,467,647436452
-1941,22,343,343,647436452
-1941,23,365,365,647436452
-1941,24,167,167,647436452
-1941,25,285,285,647436452
-1923,1,345,345,659435710
-1923,2,303,303,659435710
-1923,3,273,273,659435710
-1923,4,189,189,659435710
-1923,5,379,379,659435710
-1923,6,391,391,659435710
-1923,7,419,419,659435710
-1923,8,219,219,659435710
-1923,9,251,251,659435710
-1923,10,315,315,659435710
-1923,11,339,339,659435710
-1923,12,365,365,659435710
-1923,13,419,419,659435710
-1923,14,457,457,659435710
-1923,15,465,465,659435710
-1923,16,525,525,659435710
-1923,17,163,163,659435710
-1923,18,195,195,659435710
-1923,19,223,223,659435710
-1923,20,477,477,659435710
-1923,21,461,461,659435710
-1923,22,343,343,659435710
-1923,23,367,367,659435710
-1923,24,167,167,659435710
-1923,25,285,285,659435710
-1907,1,343,343,673634967
-1907,2,301,301,673634967
-1907,3,273,273,673634967
-1907,4,189,189,673634967
-1907,5,379,379,673634967
-1907,6,393,393,673634967
-1907,7,421,421,673634967
-1907,8,547,547,673634967
-1907,9,253,253,673634967
-1907,10,315,315,673634967
-1907,11,339,339,673634967
-1907,12,367,367,673634967
-1907,13,421,421,673634967
-1907,14,459,459,673634967
-1907,15,465,465,673634967
-1907,16,531,531,673634967
-1907,17,165,165,673634967
-1907,18,195,195,673634967
-1907,19,227,227,673634967
-1907,20,481,481,673634967
-1907,21,463,463,673634967
-1907,22,341,341,673634967
-1907,23,367,367,673634967
-1907,24,171,171,673634967
-1907,25,287,287,673634967
-1893,1,343,343,689434232
-1893,2,297,297,689434232
-1893,3,273,273,689434232
-1893,4,191,191,689434232
-1893,5,381,381,689434232
-1893,6,393,393,689434232
-1893,7,173,173,689434232
-1893,8,549,549,689434232
-1893,9,253,253,689434232
-1893,10,319,319,689434232
-1893,11,343,343,689434232
-1893,12,369,369,689434232
-1893,13,423,423,689434232
-1893,14,461,461,689434232
-1893,15,471,471,689434232
-1893,16,529,529,689434232
-1893,17,165,165,689434232
-1893,18,199,199,689434232
-1893,19,229,229,689434232
-1893,20,481,481,689434232
-1893,21,469,469,689434232
-1893,22,341,341,689434232
-1893,23,369,369,689434232
-1893,24,173,173,689434232
-1893,25,289,289,689434232
-1874,1,347,347,706633497
-1874,2,297,297,706633497
-1874,3,271,271,706633497
-1874,4,193,193,706633497
-1874,5,381,381,706633497
-1874,6,391,391,706633497
-1874,7,173,173,706633497
-1874,8,223,223,706633497
-1874,9,255,255,706633497
-1874,10,321,321,706633497
-1874,11,343,343,706633497
-1874,12,369,369,706633497
-1874,13,423,423,706633497
-1874,14,461,461,706633497
-1874,15,469,469,706633497
-1874,16,531,531,706633497
-1874,17,167,167,706633497
-1874,18,199,199,706633497
-1874,19,227,227,706633497
-1874,20,483,483,706633497
-1874,21,469,469,706633497
-1874,22,343,343,706633497
-1874,23,371,371,706633497
-1874,24,173,173,706633497
-1874,25,291,291,706633497
-1860,1,345,345,725432770
-1860,2,305,305,725432770
-1860,3,275,275,725432770
-1860,4,193,193,725432770
-1860,5,387,387,725432770
-1860,6,393,393,725432770
-1860,7,173,173,725432770
-1860,8,551,551,725432770
-1860,9,257,257,725432770
-1860,10,321,321,725432770
-1860,11,345,345,725432770
-1860,12,371,371,725432770
-1860,13,427,427,725432770
-1860,14,467,467,725432770
-1860,15,471,471,725432770
-1860,16,531,531,725432770
-1860,17,169,169,725432770
-1860,18,201,201,725432770
-1860,19,229,229,725432770
-1860,20,485,485,725432770
-1860,21,461,461,725432770
-1860,22,341,341,725432770
-1860,23,373,373,725432770
-1860,24,177,177,725432770
-1860,25,295,295,725432770
-1842,1,351,351,746432042
-1842,2,305,305,746432042
-1842,3,275,275,746432042
-1842,4,195,195,746432042
-1842,5,389,389,746432042
-1842,6,395,395,746432042
-1842,7,173,173,746432042
-1842,8,557,557,746432042
-1842,9,257,257,746432042
-1842,10,323,323,746432042
-1842,11,347,347,746432042
-1842,12,373,373,746432042
-1842,13,429,429,746432042
-1842,14,467,467,746432042
-1842,15,471,471,746432042
-1842,16,535,535,746432042
-1842,17,171,171,746432042
-1842,18,203,203,746432042
-1842,19,231,231,746432042
-1842,20,487,487,746432042
-1842,21,471,471,746432042
-1842,22,341,341,746432042
-1842,23,375,375,746432042
-1842,24,177,177,746432042
-1842,25,295,295,746432042
-1828,1,351,351,769631322
-1828,2,303,303,769631322
-1828,3,273,273,769631322
-1828,4,195,195,769631322
-1828,5,389,389,769631322
-1828,6,393,393,769631322
-1828,7,173,173,769631322
